96,-22,0,0,0,0,-6,-1,0,0,-8,-1,-5,-1,17,0,
18,0,1,0,0,0,-6,-1,3,0,-12,-1,-1,-1,17,0,
18,0,0,0,0,0,-4,-1,2,0,-4,-1,-1,-1,17,0,
18,0,-2,-1,3,0,-4,-1,4,0,-2,-1,0,0,17,0,
18,0,-1,-1,1,0,-6,-1,0,0,9,0,1,0,17,0,
18,0,3,0,0,0,-5,-1,-3,-1,11,0,1,0,17,0,
18,0,-1,-1,0,0,-3,-1,-7,-1,8,0,1,0,17,0,
18,0,-1,-1,2,0,-3,-1,-8,-1,8,0,0,0,17,0,
18,0,-1,-1,-2,-1,-6,-1,-5,-1,3,0,-1,-1,17,0,
18,0,1,0,0,0,-4,-1,-4,-1,-9,-1,-1,-1,17,0,
18,0,0,0,-3,-1,-4,-1,0,0,-8,-1,0,0,17,0,
18,0,-1,-1,2,0,-5,-1,-5,-1,7,0,2,0,17,0,
18,0,-1,-1,1,0,-3,-1,-6,-1,6,0,3,0,17,0,
18,0,0,0,-1,-1,-3,-1,-3,-1,-3,-1,0,0,17,0,
18,0,-3,-1,-2,-1,-4,-1,-1,-1,-7,-1,-2,-1,17,0,
18,0,-1,-1,0,0,-2,-1,-2,-1,-15,-1,2,0,17,0,
18,0,0,0,1,0,-7,-1,2,0,-12,-1,-3,-1,17,0,
18,0,1,0,2,0,-1,-1,3,0,-11,-1,-4,-1,17,0,
18,0,1,0,1,0,-4,-1,1,0,-8,-1,-3,-1,17,0,
18,0,-1,-1,4,0,-5,-1,2,0,-5,-1,-1,-1,17,0,
18,0,-2,-1,1,0,-6,-1,2,0,-3,-1,-1,-1,17,0,
18,0,-1,-1,-1,-1,-6,-1,1,0,2,0,-3,-1,17,0,
18,0,-1,-1,0,0,-4,-1,3,0,5,0,-2,-1,17,0,
18,0,-1,-1,2,0,-6,-1,0,0,5,0,-1,-1,17,0,
18,0,0,0,-2,-1,-5,-1,-6,-1,8,0,1,0,17,0,
18,0,0,0,-2,-1,-4,-1,-3,-1,8,0,1,0,17,0,
18,0,0,0,3,0,-6,-1,-4,-1,-3,-1,1,0,17,0,
18,0,1,0,-2,-1,-5,-1,2,0,-10,-1,-3,-1,17,0,
18,0,0,0,1,0,-5,-1,0,0,-14,-1,0,0,17,0,
18,0,-1,-1,1,0,-5,-1,-5,-1,9,0,3,0,17,0,
18,0,-3,-1,1,0,-6,-1,-5,-1,1,0,2,0,17,0,
18,0,0,0,0,0,-3,-1,-4,-1,6,0,2,0,17,0,
18,0,4,0,0,0,-6,-1,-4,-1,2,0,-2,-1,17,0,
18,0,1,0,1,0,-3,-1,2,0,-5,-1,-1,-1,17,0,
18,0,1,0,0,0,-7,-1,0,0,-10,-1,0,0,17,0,
18,0,-1,-1,1,0,-3,-1,-3,-1,-9,-1,-3,-1,17,0,
18,0,-1,-1,0,0,0,0,-3,-1,-13,-1,1,0,17,0,
18,0,-2,-1,1,0,-5,-1,2,0,-11,-1,-2,-1,17,0,
18,0,0,0,0,0,-5,-1,5,0,-5,-1,-2,-1,17,0,
18,0,3,0,0,0,-5,-1,5,0,-3,-1,-4,-1,17,0,
18,0,0,0,-2,-1,-6,-1,1,0,8,0,2,0,17,0,
18,0,-1,-1,-2,-1,-3,-1,-2,-1,8,0,2,0,17,0,
18,0,-1,-1,-2,-1,-6,-1,-4,-1,11,0,2,0,17,0,
18,0,-1,-1,-1,-1,-6,-1,-2,-1,8,0,1,0,17,0,
18,0,-1,-1,-1,-1,-4,-1,1,0,7,0,-4,-1,17,0,
18,0,-1,-1,-2,-1,-3,-1,-2,-1,9,0,1,0,17,0,
18,0,-3,-1,0,0,-7,-1,-7,-1,6,0,2,0,17,0,
18,0,-1,-1,2,0,-5,-1,-2,-1,-2,-1,0,0,17,0,
18,0,2,0,2,0,-6,-1,-1,-1,-4,-1,0,0,17,0,
18,0,2,0,-2,-1,-6,-1,2,0,-8,-1,-2,-1,17,0,
18,0,1,0,-1,-1,-6,-1,3,0,-12,-1,-2,-1,17,0,
18,0,-3,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,0,
18,0,0,0,1,0,-4,-1,-1,-1,10,0,-3,-1,17,0,
18,0,1,0,0,0,-5,-1,-2,-1,10,0,2,0,17,0,
18,0,0,0,-1,-1,-4,-1,3,0,-10,-1,-2,-1,17,0,
18,0,0,0,1,0,-5,-1,3,0,-11,-1,1,0,17,0,
18,0,0,0,0,0,-6,-1,2,0,-8,-1,-2,-1,17,0,
18,0,-3,-1,1,0,-7,-1,1,0,-2,-1,-4,-1,17,0,
18,0,-1,-1,1,0,-5,-1,2,0,5,0,-2,-1,17,0,
18,0,-1,-1,-1,-1,-5,-1,3,0,-20,-1,-4,-1,17,0,
18,0,-1,-1,0,0,-6,-1,3,0,-6,-1,-2,-1,17,0,
18,0,-3,-1,2,0,-7,-1,3,0,-3,-1,-4,-1,17,0,
18,0,0,0,1,0,-3,-1,0,0,3,0,-4,-1,17,0,
18,0,1,0,0,0,-5,-1,-1,-1,7,0,1,0,17,0,
18,0,-2,-1,-2,-1,-6,-1,-4,-1,8,0,0,0,17,0,
18,0,-2,-1,0,0,-5,-1,-9,-1,6,0,1,0,17,0,
18,0,-2,-1,0,0,-6,-1,-4,-1,-3,-1,-1,-1,17,0,
18,0,0,0,-2,-1,-6,-1,-1,-1,-10,-1,-2,-1,17,0,
18,0,1,0,1,0,-6,-1,1,0,-12,-1,-1,-1,17,0,
18,0,1,0,1,0,-7,-1,0,0,-11,-1,-1,-1,17,0,
18,0,-1,-1,1,0,-5,-1,5,0,-8,-1,-1,-1,17,0,
18,0,-4,-1,0,0,-3,-1,-1,-1,-3,-1,-2,-1,17,0,
18,0,-3,-1,1,0,-2,-1,1,0,-2,-1,3,0,17,0,
18,0,-1,-1,3,0,-3,-1,2,0,-8,-1,1,0,17,0,
18,0,1,0,-2,-1,-3,-1,2,0,8,0,1,0,17,0,
18,0,-1,-1,1,0,-3,-1,-1,-1,14,0,5,0,17,0,
18,0,-3,-1,0,0,-3,-1,-5,-1,12,0,5,0,17,0,
18,0,-5,-1,2,0,-2,-1,-7,-1,6,0,5,0,17,0,
18,0,-4,-1,-2,-1,-1,-1,-8,-1,-3,-1,5,0,17,0,
18,0,-5,-1,-3,-1,0,0,-5,-1,-9,-1,8,0,17,0,
18,0,-2,-1,-1,-1,3,0,-1,-1,-12,-1,7,0,17,0,
18,0,-1,-1,2,0,-1,-1,1,0,-12,-1,4,0,17,0,
18,0,0,0,1,0,3,0,1,0,-5,-1,6,0,17,0,
18,0,-3,-1,1,0,-2,-1,3,0,-6,-1,1,0,17,0,
18,0,-8,-1,-2,-1,-5,-1,-6,-1,10,0,2,0,17,0,
18,0,-7,-1,1,0,-4,-1,-17,-1,13,0,4,0,17,0,
18,0,-6,-1,-1,-1,-3,-1,-15,-1,12,0,-2,-1,17,0,
18,0,-1,-1,3,0,-5,-1,-7,-1,-1,-1,-2,-1,17,0,
18,0,4,0,2,0,-4,-1,-1,-1,-5,-1,1,0,17,0,
18,0,4,0,1,0,-3,-1,4,0,-10,-1,-2,-1,17,0,
18,0,1,0,2,0,-1,-1,4,0,-13,-1,2,0,17,0,
18,0,-2,-1,-1,-1,-3,-1,-2,-1,-6,-1,-2,-1,17,0,
18,0,-3,-1,2,0,-6,-1,-2,-1,-12,-1,-2,-1,17,0,
18,0,0,0,1,0,-7,-1,0,0,-14,-1,-5,-1,17,0,
18,0,-3,-1,0,0,-3,-1,2,0,-10,-1,-1,-1,17,0,
18,0,0,0,-1,-1,-5,-1,3,0,-3,-1,0,0,17,0,
18,0,-1,-1,2,0,-1,-1,2,0,0,0,1,0,17,0,
18,0,0,0,-3,-1,-5,-1,-1,-1,10,0,1,0,17,0,
18,0,1,0,0,0,-6,-1,-5,-1,14,0,3,0,17,0,
18,0,0,0,0,0,-5,-1,-7,-1,9,0,3,0,17,0,
18,0,1,0,0,0,-6,-1,-6,-1,4,0,1,0,17,0,
18,0,0,0,0,0,-5,-1,-4,-1,-4,-1,-2,-1,17,0,
18,0,-1,-1,1,0,-4,-1,-2,-1,-7,-1,2,0,17,0,
18,0,0,0,-2,-1,-4,-1,-1,-1,-12,-1,-1,-1,17,0,
18,0,1,0,1,0,-6,-1,2,0,-14,-1,0,0,17,0,
18,0,-1,-1,0,0,-2,-1,2,0,-9,-1,-2,-1,17,0,
18,0,-2,-1,-2,-1,-5,-1,3,0,1,0,-5,-1,17,0,
18,0,-1,-1,0,0,-5,-1,-1,-1,7,0,0,0,17,0,
18,0,-1,-1,-2,-1,-4,-1,0,0,11,0,5,0,17,0,
18,0,-2,-1,2,0,-8,-1,-6,-1,10,0,1,0,17,0,
18,0,1,0,-2,-1,-6,-1,-3,-1,12,0,1,0,17,0,
18,0,-3,-1,3,0,-3,-1,1,0,-8,-1,-5,-1,17,0,
18,0,3,0,1,0,-4,-1,2,0,5,0,-1,-1,17,0,
18,0,-1,-1,1,0,-6,-1,0,0,8,0,0,0,17,0,
18,0,1,0,2,0,-5,-1,0,0,8,0,1,0,17,0,
18,0,-3,-1,2,0,-7,-1,-7,-1,10,0,3,0,17,0,
18,0,1,0,0,0,-5,-1,-3,-1,16,0,2,0,17,0,
18,0,0,0,1,0,-4,-1,-6,-1,7,0,0,0,17,0,
18,0,-1,-1,-1,-1,-5,-1,-4,-1,-4,-1,2,0,17,0,
18,0,0,0,-1,-1,-4,-1,-2,-1,-5,-1,2,0,17,0,
18,0,-2,-1,2,0,-5,-1,-1,-1,-5,-1,0,0,17,0,
18,0,-5,-1,1,0,-9,-1,-1,-1,-13,-1,-6,-1,17,0,
18,0,-8,-1,1,0,-17,-1,-9,-1,-11,-1,-16,-1,17,0,
18,0,-3,-1,2,0,-10,-1,2,0,-13,-1,-4,-1,17,0,
18,0,-7,-1,-1,-1,-9,-1,-2,-1,-1,-1,-4,-1,17,0,
18,0,-9,-1,-1,-1,-5,-1,-3,-1,-2,-1,-1,-1,17,0,
18,0,-6,-1,-1,-1,-9,-1,-6,-1,4,0,-3,-1,17,0,
18,0,2,0,1,0,-4,-1,0,0,13,0,-4,-1,17,0,
18,0,2,0,-1,-1,-6,-1,-4,-1,13,0,-2,-1,17,0,
18,0,1,0,1,0,-8,-1,-4,-1,12,0,-3,-1,17,0,
18,0,-2,-1,0,0,-5,-1,-9,-1,4,0,0,0,17,0,
18,0,-5,-1,0,0,-5,-1,-5,-1,-8,-1,-4,-1,17,0,
18,0,-2,-1,-1,-1,-7,-1,-3,-1,-12,-1,-4,-1,17,0,
18,0,-1,-1,1,0,-4,-1,4,0,-8,-1,-4,-1,17,0,
18,0,-1,-1,1,0,-3,-1,4,0,-8,-1,-1,-1,17,0,
18,0,-2,-1,0,0,-6,-1,-2,-1,1,0,1,0,17,0,
18,0,0,0,-1,-1,-6,-1,1,0,7,0,-1,-1,17,0,
18,0,5,0,3,0,-7,-1,4,0,8,0,-2,-1,17,0,
18,0,9,0,-2,-1,-5,-1,1,0,11,0,-1,-1,17,0,
18,0,-1,-1,1,0,-6,-1,-2,-1,4,0,0,0,17,0,
18,0,-5,-1,-1,-1,-5,-1,-6,-1,-3,-1,2,0,17,0,
18,0,-8,-1,1,0,-5,-1,-5,-1,-12,-1,-2,-1,17,0,
18,0,-3,-1,0,0,-6,-1,0,0,-11,-1,-5,-1,17,0,
18,0,1,0,-4,-1,-6,-1,5,0,-3,-1,-5,-1,17,0,
18,0,3,0,-2,-1,-6,-1,4,0,3,0,-6,-1,17,0,
18,0,3,0,3,0,-4,-1,6,0,-1,-1,-4,-1,17,0,
18,0,3,0,0,0,-3,-1,5,0,0,0,-1,-1,17,0,
18,0,-3,-1,-1,-1,-5,-1,-4,-1,3,0,0,0,17,0,
18,0,-3,-1,1,0,-7,-1,-1,-1,13,0,3,0,17,0,
18,0,-2,-1,-3,-1,-5,-1,-4,-1,12,0,2,0,17,0,
18,0,-1,-1,-1,-1,-3,-1,-3,-1,6,0,0,0,17,0,
18,0,1,0,-2,-1,-7,-1,-4,-1,10,0,3,0,17,0,
18,0,4,0,1,0,-5,-1,-4,-1,4,0,-1,-1,17,0,
18,0,-1,-1,0,0,-9,-1,-2,-1,3,0,0,0,17,0,
18,0,0,0,-1,-1,-7,-1,0,0,11,0,-5,-1,17,0,
18,0,-2,-1,-1,-1,-8,-1,-5,-1,11,0,0,0,17,0,
18,0,-10,-1,2,0,-11,-1,-13,-1,9,0,-3,-1,17,0,
18,0,-9,-1,0,0,-7,-1,-9,-1,-2,-1,-1,-1,17,0,
18,0,-4,-1,1,0,-6,-1,-3,-1,-6,-1,-2,-1,17,0,
18,0,1,0,1,0,-9,-1,2,0,-13,-1,-3,-1,17,0,
18,0,4,0,1,0,-7,-1,6,0,-10,-1,-4,-1,17,0,
18,0,0,0,1,0,-4,-1,3,0,-10,-1,-2,-1,17,0,
18,0,-1,-1,-3,-1,-5,-1,-2,-1,-10,-1,-3,-1,17,0,
18,0,-2,-1,0,0,-3,-1,2,0,-11,-1,0,0,17,0,
18,0,-1,-1,1,0,-3,-1,1,0,-1,-1,-3,-1,17,0,
18,0,0,0,1,0,-6,-1,-2,-1,-5,-1,-2,-1,17,0,
18,0,0,0,0,0,-6,-1,2,0,-12,-1,-2,-1,17,0,
18,0,0,0,-2,-1,-4,-1,2,0,-12,-1,-4,-1,17,0,
18,0,2,0,-1,-1,-2,-1,3,0,-12,-1,-4,-1,17,0,
18,0,2,0,-1,-1,-7,-1,6,0,-8,-1,-5,-1,17,0,
18,0,3,0,2,0,-3,-1,7,0,5,0,0,0,17,0,
18,0,0,0,-3,-1,-6,-1,-4,-1,10,0,3,0,17,0,
18,0,-6,-1,0,0,-5,-1,-7,-1,9,0,-1,-1,17,0,
18,0,-2,-1,2,0,-4,-1,-6,-1,2,0,3,0,17,0,
18,0,0,0,0,0,-4,-1,-6,-1,-5,-1,0,0,17,0,
18,0,4,0,-1,-1,-6,-1,3,0,-6,-1,-2,-1,17,0,
18,0,1,0,2,0,-5,-1,3,0,-14,-1,-3,-1,17,0,
18,0,0,0,1,0,-5,-1,0,0,-11,-1,-2,-1,17,0,
18,0,-2,-1,0,0,-5,-1,2,0,-10,-1,1,0,17,0,
18,0,-4,-1,0,0,-5,-1,0,0,-10,-1,-2,-1,17,0,
18,0,-1,-1,-1,-1,-4,-1,1,0,-3,-1,-3,-1,17,0,
18,0,-2,-1,-1,-1,-5,-1,0,0,3,0,-1,-1,17,0,
18,0,1,0,0,0,-6,-1,-1,-1,4,0,-1,-1,17,0,
18,0,1,0,1,0,-1,-1,-4,-1,12,0,1,0,17,0,
18,0,-2,-1,1,0,-4,-1,-7,-1,6,0,1,0,17,0,
18,0,-2,-1,-1,-1,-7,-1,-4,-1,1,0,-3,-1,17,0,
18,0,-1,-1,-6,-1,-5,-1,-2,-1,-5,-1,-3,-1,17,0,
18,0,-1,-1,1,0,-6,-1,-3,-1,-10,-1,1,0,17,0,
18,0,1,0,-1,-1,-7,-1,-1,-1,-11,-1,-3,-1,17,0,
18,0,0,0,0,0,-9,-1,2,0,-10,-1,-2,-1,17,0,
18,0,1,0,0,0,-3,-1,3,0,-11,-1,-2,-1,17,0,
18,0,4,0,-1,-1,-8,-1,4,0,-2,-1,-2,-1,17,0,
18,0,0,0,1,0,-5,-1,4,0,5,0,0,0,17,0,
18,0,-1,-1,-2,-1,-3,-1,-2,-1,5,0,0,0,17,0,
18,0,-4,-1,1,0,-2,-1,-6,-1,14,0,-1,-1,17,0,
18,0,-3,-1,-2,-1,-5,-1,-6,-1,12,0,1,0,17,0,
18,0,-1,-1,1,0,-6,-1,-3,-1,8,0,2,0,17,0,
18,0,0,0,2,0,-7,-1,0,0,3,0,0,0,17,0,
18,0,2,0,-2,-1,-7,-1,0,0,3,0,0,0,17,0,
18,0,1,0,2,0,-3,-1,-2,-1,-6,-1,0,0,17,0,
18,0,1,0,-2,-1,-5,-1,0,0,-12,-1,-1,-1,17,0,
18,0,-2,-1,1,0,-4,-1,-2,-1,-13,-1,0,0,17,0,
18,0,0,0,0,0,-4,-1,3,0,-9,-1,-3,-1,17,0,
18,0,3,0,1,0,-5,-1,2,0,-4,-1,-6,-1,17,0,
18,0,2,0,1,0,-6,-1,2,0,-4,-1,-1,-1,17,0,
18,0,-1,-1,3,0,-4,-1,1,0,6,0,1,0,17,0,
18,0,-2,-1,-2,-1,-6,-1,-3,-1,6,0,2,0,17,0,
18,0,2,0,0,0,-6,-1,-3,-1,11,0,2,0,17,0,
18,0,0,0,1,0,-4,-1,3,0,4,0,0,0,17,0,
18,0,3,0,0,0,-5,-1,0,0,9,0,1,0,17,0,
18,0,-2,-1,3,0,-6,-1,-4,-1,10,0,3,0,17,0,
18,0,-3,-1,-1,-1,-4,-1,-1,-1,-6,-1,-2,-1,17,0,
18,0,-1,-1,2,0,-4,-1,0,0,-8,-1,-1,-1,17,0,
18,0,0,0,1,0,-6,-1,0,0,4,0,0,0,17,0,
18,0,3,0,-2,-1,-7,-1,2,0,11,0,1,0,17,0,
18,0,2,0,0,0,-3,-1,-2,-1,14,0,-1,-1,17,0,
18,0,-2,-1,0,0,-4,-1,-6,-1,4,0,3,0,17,0,
18,0,-3,-1,2,0,-4,-1,-6,-1,0,0,1,0,17,0,
18,0,0,0,0,0,-5,-1,-3,-1,-2,-1,1,0,17,0,
18,0,0,0,0,0,-6,-1,-1,-1,-9,-1,-1,-1,17,0,
18,0,1,0,-3,-1,-4,-1,-1,-1,3,0,0,0,17,0,
18,0,1,0,0,0,-6,-1,-6,-1,9,0,1,0,17,0,
18,0,0,0,-2,-1,-5,-1,-5,-1,1,0,-1,-1,17,0,
18,0,0,0,0,0,-5,-1,-4,-1,-6,-1,-1,-1,17,0,
18,0,-1,-1,0,0,-6,-1,-1,-1,-9,-1,1,0,17,0,
